"id" "lat" "lon" "nrm" "nse" "fut1_0.9" "fut1_0.8" "fut1_0.5" "fut1_0.2" "fut1_0.1" "fut1_0.05" "fut1_0.02" "fut2_0.9" "fut2_0.8" "fut2_0.5" "fut2_0.2" "fut2_0.1" "fut2_0.05" "fut2_0.02"
"116011A" -17.60505 145.47745 8 0.571757246532603 -7.07848256001162 9.19016814617061 24.6326975966984 29.8606289397618 24.1299187729274 23.1003233605614 24.4762874766371 -16.7899557662924 -7.8687620249329 4.73623017318072 7.81892399177145 9.38568845325359 10.5557201428298 8.22377389314578
"116013A" -17.65125 145.3410684 8 0.562702685093621 -7.56880244568505 9.08334243675413 26.2472752890632 30.6067886271176 26.039864005986 24.2924897837853 26.4376860814119 -16.7471980360713 -8.9048406130022 4.32792153223286 8.32021113708652 8.9000594943936 12.1628159865527 10.7946135735556
"116014A" -17.6266 145.29875 8 0.526994062050883 -13.9379115674394 4.26937351706922 25.8028533448473 28.8377214873285 23.9006819048011 23.4596671224782 20.5681138545731 -22.5311481655799 -11.9241006226716 3.08890399058997 13.6268792965078 14.5943721266345 14.5298528815563 14.6860140348288
"116015A" -17.73625 145.437374 8 0.762244030857855 -6.38159892243986 9.31127484182289 23.5003250860313 26.2992927857283 24.1099977321483 23.6319287855613 20.305472372952 -14.2143068140293 -6.77713650178347 3.01615537716438 7.74336010472456 7.24912786265581 11.5150339480457 17.177251289961
"117002A" -19.2377 146.6329 4 0.158371940892194 -7.78620424469691 -3.00018992500963 -0.620463765291748 10.355000197777 17.8272364410024 22.3670724959273 26.8465021037569 -9.67363981742736 -12.9280081178757 -14.5775255238032 -4.04924692661757 -1.462546808067 0.735087218642325 3.73238484440418
"117003A" -19.185 146.5461 4 0.670352522199925 -7.50617371369253 -3.73815730985498 1.48804288491401 7.60840980353853 13.7188550661665 18.2630313656159 23.8217560747736 -16.4907088125834 -15.3240576350663 -13.6646634523047 -4.91138632444498 -3.4452842857669 -1.14413605635825 2.53293483690125
"118106A" -19.39 146.96 4 0.786096606746021 -10.7933299802564 -3.02308409809393 -2.83315614641019 7.33661263187175 10.5528223057656 18.1680025498568 21.5636758915998 -9.1359184906042 -9.67214582619156 -8.13746464431102 -4.92016994402524 -7.33327218199101 -1.28620168341757 3.37239069952547
"119003A" -19.63 147.11 4 0.726372613668769 -7.89409669824793 -4.07226099000694 -2.20969072630323 5.87245617370643 11.453995691044 20.7480515377129 26.9093211821204 -9.08067279233932 -1.04192497551103 -7.0888579021994 -4.30829703231891 -4.42403804573298 -6.96008129204971 -4.94299662639972
"120102A" -19.3719 146.3589 4 0.565208581143338 -9.16357005760999 -5.47675214328765 0.529732541486575 8.45174514626498 13.1571326659876 17.0454750979862 22.3526713759407 -17.227624164957 -16.0305559293034 -13.2359013933629 -3.70044937243905 -1.74704891353547 0.404115692136019 1.68730441094599
"120301B" -21.53 146.86 4 -0.428876953427067 -1.53533724083949 -1.65953226702182 7.75676010017483 23.4630046393942 35.3291014814149 47.5406995180526 65.1416278200301 -7.26525503158191 -5.90254526214031 -1.54308034736047 10.4497182964794 12.1720267778453 18.4859642605308 23.7636951404071
