"id" "lat" "lon" "nrm" "nse" "fut1_0.9" "fut1_0.8" "fut1_0.5" "fut1_0.2" "fut1_0.1" "fut1_0.05" "fut1_0.02" "fut2_0.9" "fut2_0.8" "fut2_0.5" "fut2_0.2" "fut2_0.1" "fut2_0.05" "fut2_0.02"
"114001A" -18.1069 145.8054 8 0.496649213415485 3.77183261730138 6.87296226558385 17.3453190379479 16.2979338379623 21.1582669221036 25.9871935035431 27.2600936219955 -55.1399404468119 -23.597291177399 -5.44225109000907 8.60254299395375 10.6991653490735 18.4362071066034 35.6830551784148
"116006B" -18.49125 145.922213 8 0.717970368506333 127.823641234943 67.4623723873619 69.1994617099289 57.4499789798654 45.8760472752861 36.2163124747561 34.2688274684131 -27.749623928476 0.0747959643733651 8.72292002057124 12.4695482625426 14.2268382792628 12.5459120712253 15.9870898264062
"116010A" -18.2044 145.5369 8 0.5793466588775 -6.67872528843475 12.3121598861386 30.8208093097292 29.4005766739137 30.3882092427322 32.9324146940122 37.892968931871 -97.5935904970395 -24.9750577336751 -3.512231674256 12.4954545370668 12.262248141726 16.5625190303941 33.2940243151123
"116011A" -17.60505 145.47745 8 0.571757246532603 145.959658013847 69.267904383007 56.6461486223501 41.1777593735071 31.5726031278896 27.474443015155 33.5076681942641 25.0259381967207 2.84463121794936 11.0914314758024 7.75117700375863 1.83830200989983 7.3914410033213 13.4105370131757
"116013A" -17.65125 145.3410684 8 0.562702685093621 123.192952596585 73.6030372414672 61.3407025774608 47.0111972268469 36.9980595240897 31.2515008338209 35.6265119296891 22.14594805367 0.919653696420819 11.9282722339902 6.78262233791451 2.00017935222787 8.00703545436546 14.1999157373649
"116014A" -17.6266 145.29875 8 0.526994062050883 132.920379368827 64.612459095049 56.9556233925534 47.5972862385624 37.6570655399424 32.9639815699592 37.9829829140938 17.173665489271 1.1359104747896 13.781183883898 10.1891946090619 9.10339337625006 15.0482502629114 19.9266645684592
"116015A" -17.73625 145.437374 8 0.762244030857855 63.3642202509495 54.2157567604188 50.8336937525214 40.8475957280452 33.0818266700737 29.1260705777605 36.4198254907405 -51.0763625700463 -1.9170867149432 11.667439319587 9.07620730523289 4.13746126254673 12.6322229323276 17.9456763960606
"117002A" -19.2377 146.6329 4 0.158371940892194 -42.8332043474268 26.8265762713201 18.5050979988929 19.2489356988991 25.6151486549397 28.2640215320489 30.3452064423716 -76.8897077324286 -31.7024786660574 -17.8662934191854 -11.2727379621541 -3.51332790847724 -0.87184091374917 -3.78215383447381
"117003A" -19.185 146.5461 4 0.670352522199925 -1.50978591501115 8.17580144642261 10.1899439160569 15.3056443304179 21.0864111013518 22.4635869836067 24.6813294164737 -48.8407373856735 -29.2351388353324 -15.614672749031 -4.28756046190257 -1.91014229433207 0.795887381604875 7.06030084457691
"118106A" -19.39 146.96 4 0.786096606746021 -78.4300577027429 9.31848997057847 11.8782945582992 16.9416489815039 21.399631416385 25.7979889443635 31.8785251645119 -114.48726074423 -18.8741156548218 -5.46863909446163 -7.70241696197485 -1.06676276931446 3.31753188783541 9.14258204963796
